date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:09	110761/110761	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-2.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-2.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:10	67362/67362	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-4.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-4.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:12	94713/94713	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-3.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-3.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:13	52298/52298	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-5.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-5.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:20	64620/64620	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-7.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-7.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:23	87525/87525	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-6.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-6.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:23	54864/54864	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-9.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-9.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:23	11609/11609	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gift/img-1.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gift/img-1.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:25	14561/14561	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gift/img-2.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gift/img-2.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:26	15951/15951	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gift/img-3.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gift/img-3.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
